age,job,marital,education,default,balance,day,month,duration,campaign,pdays,previous,poutcome,y,housing,loan
55,services,divorced,secondary,no,91,5,may,349,1,-1,0,unknown,no,no,no
49,services,divorced,secondary,no,0,5,may,272,1,-1,0,unknown,no,yes,yes
55,services,divorced,secondary,yes,1,5,may,208,1,-1,0,unknown,no,yes,no
45,admin.,single,secondary,no,206,5,may,193,1,-1,0,unknown,no,yes,no
47,services,divorced,secondary,no,164,5,may,212,1,-1,0,unknown,no,no,no
42,technician,single,secondary,no,690,5,may,20,1,-1,0,unknown,no,yes,no
59,admin.,married,secondary,no,2343,5,may,1042,1,-1,0,unknown,yes,yes,no
46,self-employed,married,tertiary,no,137,5,may,246,1,-1,0,unknown,no,yes,yes
51,blue-collar,married,primary,no,173,5,may,529,2,-1,0,unknown,no,yes,no
56,admin.,married,secondary,no,45,5,may,1467,1,-1,0,unknown,yes,no,no
41,technician,married,secondary,no,1270,5,may,1389,1,-1,0,unknown,yes,yes,no
46,management,divorced,secondary,no,16,5,may,188,2,-1,0,unknown,no,yes,yes
57,retired,married,secondary,no,486,5,may,180,2,-1,0,unknown,no,yes,no
42,management,single,secondary,no,50,5,may,48,1,-1,0,unknown,no,no,no
30,technician,married,secondary,no,152,5,may,213,2,-1,0,unknown,no,yes,yes
60,admin.,married,secondary,no,290,5,may,583,1,-1,0,unknown,no,yes,no
60,blue-collar,married,unknown,no,54,5,may,221,1,-1,0,unknown,no,yes,no
57,entrepreneur,divorced,secondary,no,-37,5,may,173,1,-1,0,unknown,no,no,no
36,management,married,tertiary,no,101,5,may,426,1,-1,0,unknown,no,yes,yes
55,blue-collar,married,secondary,no,383,5,may,287,1,-1,0,unknown,no,no,no
60,retired,married,tertiary,no,81,5,may,101,1,-1,0,unknown,no,yes,no
39,technician,married,secondary,no,0,5,may,203,1,-1,0,unknown,no,yes,no
46,management,married,tertiary,no,229,5,may,197,1,-1,0,unknown,no,yes,no
44,blue-collar,married,secondary,no,-674,5,may,257,1,-1,0,unknown,no,yes,no
53,blue-collar,married,primary,no,90,5,may,124,1,-1,0,unknown,no,no,no
52,blue-collar,married,primary,no,128,5,may,229,1,-1,0,unknown,no,yes,no
59,blue-collar,married,primary,no,179,5,may,55,3,-1,0,unknown,no,yes,no
27,technician,single,tertiary,no,0,5,may,400,1,-1,0,unknown,no,yes,no
44,blue-collar,married,secondary,no,54,5,may,197,1,-1,0,unknown,no,yes,no
47,technician,married,tertiary,no,151,5,may,190,1,-1,0,unknown,no,yes,no
34,admin.,married,secondary,no,61,5,may,21,1,-1,0,unknown,no,no,yes
59,retired,single,secondary,no,30,5,may,514,1,-1,0,unknown,no,yes,no
45,management,married,tertiary,no,523,5,may,849,2,-1,0,unknown,no,yes,no
29,services,divorced,secondary,no,31,5,may,194,1,-1,0,unknown,no,yes,no
46,technician,divorced,secondary,no,79,5,may,144,1,-1,0,unknown,no,no,no
56,self-employed,married,primary,no,-34,5,may,212,2,-1,0,unknown,no,yes,yes
36,blue-collar,married,primary,no,448,5,may,286,1,-1,0,unknown,no,yes,no
59,retired,divorced,primary,no,81,5,may,107,1,-1,0,unknown,no,yes,no
44,blue-collar,married,secondary,no,144,5,may,247,2,-1,0,unknown,no,yes,no
41,admin.,married,secondary,no,351,5,may,518,1,-1,0,unknown,no,yes,no
33,management,single,tertiary,no,-67,5,may,364,1,-1,0,unknown,no,yes,no
59,management,divorced,tertiary,no,262,5,may,178,1,-1,0,unknown,no,no,no
57,technician,married,primary,no,0,5,may,98,1,-1,0,unknown,no,no,no
56,technician,divorced,unknown,no,56,5,may,439,1,-1,0,unknown,no,yes,no
51,blue-collar,married,secondary,no,26,5,may,79,1,-1,0,unknown,no,yes,no
34,admin.,married,unknown,no,3,5,may,120,3,-1,0,unknown,no,yes,no
43,services,married,secondary,no,41,5,may,127,2,-1,0,unknown,no,yes,yes
52,technician,married,tertiary,no,7,5,may,175,1,-1,0,unknown,no,no,yes
33,technician,single,secondary,no,105,5,may,262,2,-1,0,unknown,no,yes,no
29,admin.,single,secondary,no,818,5,may,61,1,-1,0,unknown,no,yes,yes
34,services,married,secondary,no,-16,5,may,78,1,-1,0,unknown,no,yes,yes
31,blue-collar,married,secondary,no,0,5,may,143,1,-1,0,unknown,no,yes,no
55,services,married,secondary,no,2476,5,may,579,1,-1,0,unknown,yes,yes,no
55,management,married,unknown,no,1185,5,may,677,1,-1,0,unknown,no,no,no
32,admin.,single,secondary,no,217,5,may,345,1,-1,0,unknown,no,yes,no
38,technician,single,secondary,no,1685,5,may,185,1,-1,0,unknown,no,yes,no
55,admin.,single,secondary,no,802,5,may,100,2,-1,0,unknown,no,yes,yes
28,unemployed,single,tertiary,no,0,5,may,125,2,-1,0,unknown,no,yes,no
23,blue-collar,married,secondary,no,94,5,may,193,1,-1,0,unknown,no,yes,no
32,technician,single,secondary,no,0,5,may,136,1,-1,0,unknown,no,yes,no
43,services,single,unknown,no,0,5,may,73,1,-1,0,unknown,no,no,no
32,blue-collar,married,secondary,no,517,5,may,528,1,-1,0,unknown,no,yes,no
46,blue-collar,married,secondary,no,265,5,may,541,1,-1,0,unknown,no,yes,no
53,housemaid,divorced,primary,no,947,5,may,163,1,-1,0,unknown,no,yes,no
34,self-employed,single,secondary,no,3,5,may,301,1,-1,0,unknown,no,yes,no
57,unemployed,married,tertiary,no,42,5,may,46,1,-1,0,unknown,no,no,no
37,blue-collar,married,secondary,no,37,5,may,204,1,-1,0,unknown,no,yes,no
59,blue-collar,married,secondary,no,57,5,may,98,1,-1,0,unknown,no,yes,no
33,services,married,secondary,no,22,5,may,71,1,-1,0,unknown,no,yes,no
56,blue-collar,divorced,primary,no,8,5,may,157,2,-1,0,unknown,no,yes,no
48,unemployed,married,secondary,no,293,5,may,243,1,-1,0,unknown,no,yes,no
43,services,married,primary,no,3,5,may,186,2,-1,0,unknown,no,yes,no
54,blue-collar,married,primary,no,348,5,may,579,2,-1,0,unknown,no,yes,no
51,blue-collar,married,unknown,no,-19,5,may,163,2,-1,0,unknown,no,yes,no
26,student,single,secondary,no,0,5,may,610,2,-1,0,unknown,no,yes,no
40,management,married,tertiary,no,-4,5,may,2033,1,-1,0,unknown,no,yes,no
39,management,married,secondary,no,18,5,may,85,1,-1,0,unknown,no,yes,no
50,technician,married,primary,no,139,5,may,114,2,-1,0,unknown,no,no,no
41,services,married,secondary,no,0,5,may,114,2,-1,0,unknown,no,yes,no
51,blue-collar,married,unknown,no,1883,5,may,57,1,-1,0,unknown,no,yes,no
60,retired,divorced,secondary,no,216,5,may,238,1,-1,0,unknown,no,yes,no
52,blue-collar,married,secondary,no,782,5,may,93,3,-1,0,unknown,no,yes,no
48,blue-collar,married,secondary,no,904,5,may,128,2,-1,0,unknown,no,yes,no
48,services,married,unknown,no,1705,5,may,107,1,-1,0,unknown,no,yes,no
39,technician,single,tertiary,no,47,5,may,181,1,-1,0,unknown,no,yes,no
47,services,single,secondary,no,176,5,may,303,2,-1,0,unknown,no,yes,no
40,blue-collar,married,secondary,no,1225,5,may,558,5,-1,0,unknown,no,yes,no
45,technician,married,secondary,no,86,5,may,270,1,-1,0,unknown,no,yes,no
26,admin.,single,secondary,no,82,5,may,228,1,-1,0,unknown,no,yes,no
52,management,married,tertiary,no,271,5,may,99,1,-1,0,unknown,no,yes,no
54,technician,married,secondary,no,1378,5,may,240,1,-1,0,unknown,no,yes,no
54,admin.,married,tertiary,no,184,5,may,673,2,-1,0,unknown,yes,no,no
50,blue-collar,married,primary,no,0,5,may,233,3,-1,0,unknown,no,no,no
35,blue-collar,married,secondary,no,0,5,may,1056,1,-1,0,unknown,no,yes,no
44,services,married,secondary,no,1357,5,may,250,1,-1,0,unknown,no,yes,yes
53,entrepreneur,married,unknown,no,19,5,may,252,1,-1,0,unknown,no,yes,no
35,retired,single,primary,no,434,5,may,138,1,-1,0,unknown,no,no,no
60,admin.,divorced,secondary,no,92,5,may,130,1,-1,0,unknown,no,yes,no
53,admin.,divorced,secondary,no,1151,5,may,412,1,-1,0,unknown,no,yes,no
48,unemployed,married,secondary,no,41,5,may,179,2,-1,0,unknown,no,yes,no
34,technician,married,secondary,no,51,5,may,19,2,-1,0,unknown,no,yes,no
54,services,married,secondary,no,214,5,may,458,2,-1,0,unknown,no,yes,no
51,management,married,secondary,no,1161,5,may,717,1,-1,0,unknown,no,yes,no
31,services,married,tertiary,no,37,5,may,313,1,-1,0,unknown,no,yes,no
35,technician,divorced,secondary,no,787,5,may,683,2,-1,0,unknown,no,yes,no
35,services,married,secondary,no,59,5,may,1077,1,-1,0,unknown,no,yes,no
38,technician,married,secondary,no,253,5,may,416,1,-1,0,unknown,no,yes,no
36,admin.,married,tertiary,no,211,5,may,146,2,-1,0,unknown,no,yes,no
58,retired,married,primary,no,235,5,may,167,1,-1,0,unknown,no,yes,no
40,services,divorced,unknown,no,4384,5,may,315,1,-1,0,unknown,no,yes,no
54,management,married,secondary,no,4080,5,may,140,1,-1,0,unknown,no,no,no
34,blue-collar,single,secondary,no,53,5,may,346,1,-1,0,unknown,no,yes,yes
31,management,single,tertiary,no,0,5,may,562,1,-1,0,unknown,no,yes,no
51,retired,married,secondary,no,2127,5,may,172,1,-1,0,unknown,no,yes,no
33,management,married,tertiary,no,377,5,may,217,1,-1,0,unknown,no,yes,no
55,management,married,tertiary,no,73,5,may,142,2,-1,0,unknown,no,yes,no
42,admin.,married,secondary,no,445,5,may,67,1,-1,0,unknown,no,yes,no
34,blue-collar,married,secondary,no,243,5,may,291,1,-1,0,unknown,no,yes,no
33,blue-collar,single,secondary,no,307,5,may,309,2,-1,0,unknown,no,yes,no
38,services,married,secondary,no,155,5,may,248,1,-1,0,unknown,no,yes,no
50,technician,divorced,tertiary,no,173,5,may,98,1,-1,0,unknown,no,no,yes
43,management,married,tertiary,no,400,5,may,256,1,-1,0,unknown,no,yes,no
61,blue-collar,divorced,primary,no,1428,5,may,82,2,-1,0,unknown,no,yes,no
47,admin.,married,secondary,no,219,5,may,577,1,-1,0,unknown,no,yes,no
48,self-employed,married,tertiary,no,7,5,may,286,1,-1,0,unknown,no,yes,no
44,blue-collar,married,secondary,no,575,5,may,477,1,-1,0,unknown,no,yes,no
35,student,single,unknown,no,298,5,may,611,2,-1,0,unknown,no,yes,no
35,services,married,secondary,no,0,5,may,471,1,-1,0,unknown,no,yes,no
50,services,married,secondary,no,5699,5,may,381,2,-1,0,unknown,no,yes,no
41,management,married,tertiary,no,176,5,may,42,1,-1,0,unknown,no,yes,yes
41,management,married,tertiary,no,517,5,may,251,1,-1,0,unknown,no,yes,no
39,services,single,unknown,no,257,5,may,408,1,-1,0,unknown,no,yes,no
42,retired,married,secondary,no,56,5,may,215,1,-1,0,unknown,no,yes,no
38,blue-collar,married,secondary,no,-390,5,may,287,1,-1,0,unknown,no,yes,no
53,retired,married,secondary,no,330,5,may,216,2,-1,0,unknown,no,yes,no
59,housemaid,divorced,primary,no,195,5,may,366,2,-1,0,unknown,no,no,no
36,services,married,secondary,no,301,5,may,210,1,-1,0,unknown,no,yes,no
54,blue-collar,married,primary,no,-41,5,may,288,1,-1,0,unknown,no,yes,no
40,technician,married,tertiary,no,483,5,may,168,1,-1,0,unknown,no,yes,no
47,unknown,married,unknown,no,28,5,may,338,2,-1,0,unknown,no,no,no
53,unemployed,married,unknown,no,13,5,may,410,3,-1,0,unknown,no,no,no
46,housemaid,married,primary,no,965,5,may,177,1,-1,0,unknown,no,no,no
39,management,married,tertiary,no,378,5,may,127,2,-1,0,unknown,no,yes,yes
40,unemployed,married,secondary,no,219,5,may,357,1,-1,0,unknown,no,yes,no
28,blue-collar,married,primary,no,324,5,may,175,1,-1,0,unknown,no,yes,no
35,entrepreneur,divorced,secondary,no,-69,5,may,300,1,-1,0,unknown,no,yes,no
55,retired,married,secondary,no,0,5,may,136,1,-1,0,unknown,no,no,yes
43,technician,divorced,unknown,no,205,5,may,1419,1,-1,0,unknown,no,yes,no
48,blue-collar,married,primary,no,278,5,may,125,2,-1,0,unknown,no,yes,no
58,management,married,unknown,no,1065,5,may,213,3,-1,0,unknown,no,yes,no
33,management,single,tertiary,no,34,5,may,27,1,-1,0,unknown,no,yes,no
36,blue-collar,married,unknown,no,1033,5,may,238,2,-1,0,unknown,no,no,no
53,services,divorced,secondary,no,1467,5,may,124,1,-1,0,unknown,no,yes,no
47,blue-collar,married,primary,no,-12,5,may,18,1,-1,0,unknown,no,yes,no
31,services,married,secondary,no,388,5,may,730,2,-1,0,unknown,no,yes,no
57,entrepreneur,married,secondary,no,294,5,may,746,2,-1,0,unknown,no,yes,no
53,blue-collar,married,unknown,no,1827,5,may,121,1,-1,0,unknown,no,no,no
55,blue-collar,married,primary,no,627,5,may,247,1,-1,0,unknown,no,yes,no
45,blue-collar,married,primary,no,25,5,may,40,1,-1,0,unknown,no,yes,no
53,admin.,divorced,secondary,no,315,5,may,181,2,-1,0,unknown,no,yes,no
37,blue-collar,married,primary,no,0,5,may,79,1,-1,0,unknown,no,yes,no
44,admin.,divorced,secondary,no,66,5,may,206,1,-1,0,unknown,no,yes,no
49,blue-collar,divorced,primary,no,-9,5,may,389,1,-1,0,unknown,no,yes,yes
46,technician,married,secondary,no,349,5,may,127,1,-1,0,unknown,no,yes,yes
43,entrepreneur,married,unknown,no,100,5,may,702,1,-1,0,unknown,no,yes,no
38,admin.,married,secondary,no,0,5,may,151,1,-1,0,unknown,no,no,no
43,technician,married,secondary,no,434,5,may,117,1,-1,0,unknown,no,yes,no
49,management,married,tertiary,no,3237,5,may,232,3,-1,0,unknown,no,yes,no
42,management,married,unknown,no,275,5,may,408,2,-1,0,unknown,no,no,no
22,blue-collar,single,secondary,no,0,5,may,179,2,-1,0,unknown,no,yes,no
40,management,married,tertiary,no,207,5,may,39,1,-1,0,unknown,no,yes,no
39,blue-collar,married,secondary,no,483,5,may,282,1,-1,0,unknown,no,yes,no
51,services,married,secondary,no,2248,5,may,714,2,-1,0,unknown,no,yes,no
49,admin.,married,secondary,no,428,5,may,50,1,-1,0,unknown,no,yes,no
53,blue-collar,married,secondary,no,0,5,may,181,1,-1,0,unknown,no,yes,yes
34,services,single,secondary,no,0,5,may,142,1,-1,0,unknown,no,yes,no
33,technician,divorced,secondary,no,140,5,may,227,1,-1,0,unknown,no,yes,no
50,management,single,tertiary,no,297,5,may,119,1,-1,0,unknown,no,yes,no
39,blue-collar,married,primary,no,279,5,may,361,1,-1,0,unknown,no,yes,no
59,entrepreneur,divorced,secondary,no,901,5,may,73,3,-1,0,unknown,no,yes,no
30,technician,single,secondary,no,2573,5,may,67,2,-1,0,unknown,no,yes,no
36,services,married,secondary,no,143,5,may,350,1,-1,0,unknown,no,yes,yes
40,blue-collar,married,secondary,no,475,5,may,332,2,-1,0,unknown,no,yes,no
53,blue-collar,married,secondary,no,70,5,may,611,2,-1,0,unknown,no,yes,no
34,management,single,tertiary,no,318,5,may,113,2,-1,0,unknown,no,yes,no
37,technician,married,secondary,no,275,5,may,132,1,-1,0,unknown,no,yes,no
42,management,divorced,tertiary,no,742,5,may,58,3,-1,0,unknown,no,yes,no
41,entrepreneur,married,primary,no,236,5,may,151,1,-1,0,unknown,no,yes,no
30,student,single,tertiary,no,25,5,may,89,2,-1,0,unknown,no,yes,no
37,management,single,tertiary,no,600,5,may,152,1,-1,0,unknown,no,yes,no
39,admin.,divorced,secondary,no,-349,5,may,611,2,-1,0,unknown,no,yes,no
41,blue-collar,married,primary,no,183,5,may,110,2,-1,0,unknown,no,yes,yes
40,blue-collar,married,primary,no,0,5,may,463,1,-1,0,unknown,no,yes,no
42,management,single,tertiary,no,0,5,may,562,2,-1,0,unknown,yes,yes,yes
40,blue-collar,divorced,primary,no,0,5,may,962,1,-1,0,unknown,no,yes,no
57,technician,married,secondary,no,1078,5,may,10,4,-1,0,unknown,no,yes,no
56,entrepreneur,divorced,secondary,no,155,5,may,118,3,-1,0,unknown,no,no,no
37,admin.,married,secondary,no,190,5,may,92,2,-1,0,unknown,no,yes,no
59,retired,married,secondary,no,319,5,may,143,3,-1,0,unknown,no,yes,no
39,services,divorced,secondary,no,-185,5,may,189,3,-1,0,unknown,no,yes,no
49,services,married,secondary,no,47,5,may,234,2,-1,0,unknown,no,no,no
38,services,single,secondary,no,570,5,may,75,2,-1,0,unknown,no,yes,no
36,self-employed,married,tertiary,no,19,5,may,189,2,-1,0,unknown,no,no,no
50,blue-collar,married,primary,no,61,5,may,621,3,-1,0,unknown,no,yes,no
41,admin.,married,secondary,no,-62,5,may,55,2,-1,0,unknown,no,yes,yes
54,technician,married,tertiary,no,258,5,may,310,4,-1,0,unknown,no,no,no
58,blue-collar,married,primary,no,76,5,may,156,2,-1,0,unknown,no,yes,no
30,blue-collar,single,secondary,no,0,5,may,5,2,-1,0,unknown,no,yes,no
33,admin.,single,secondary,no,352,5,may,225,2,-1,0,unknown,no,yes,no
47,admin.,married,secondary,no,368,5,may,125,2,-1,0,unknown,no,yes,no
50,technician,single,tertiary,no,339,5,may,2,3,-1,0,unknown,no,yes,no
32,blue-collar,married,secondary,no,1331,5,may,286,2,-1,0,unknown,no,yes,no
40,self-employed,married,secondary,no,672,5,may,164,2,-1,0,unknown,no,yes,no
37,management,married,tertiary,no,58,5,may,98,2,-1,0,unknown,no,yes,no
54,technician,single,unknown,no,447,5,may,742,2,-1,0,unknown,no,yes,no
24,student,single,secondary,no,423,5,may,226,3,-1,0,unknown,no,yes,no
54,management,married,tertiary,no,0,5,may,120,2,-1,0,unknown,no,no,no
34,technician,married,secondary,no,19,5,may,362,4,-1,0,unknown,no,yes,no
56,technician,divorced,primary,no,13,5,may,357,2,-1,0,unknown,no,yes,no
31,blue-collar,single,secondary,no,3,5,may,200,2,-1,0,unknown,no,yes,no
24,student,single,secondary,no,82,5,may,204,2,-1,0,unknown,no,yes,no
42,blue-collar,divorced,primary,no,28,5,may,126,3,-1,0,unknown,no,yes,no
57,technician,married,secondary,no,792,5,may,65,2,-1,0,unknown,no,yes,no
42,blue-collar,married,unknown,no,408,5,may,107,2,-1,0,unknown,no,yes,no
51,admin.,married,secondary,no,531,5,may,267,2,-1,0,unknown,no,yes,no
57,retired,married,secondary,no,211,5,may,248,2,-1,0,unknown,no,yes,no
36,services,single,secondary,no,62,5,may,215,2,-1,0,unknown,no,yes,no
53,services,married,unknown,no,257,5,may,209,2,-1,0,unknown,no,yes,no
50,technician,married,secondary,no,1234,5,may,205,2,-1,0,unknown,no,yes,no
54,management,married,tertiary,no,313,5,may,83,2,-1,0,unknown,no,yes,no
55,blue-collar,married,secondary,no,89,5,may,106,3,-1,0,unknown,no,yes,no
44,blue-collar,married,secondary,no,129,5,may,189,2,-1,0,unknown,no,yes,yes
43,management,married,unknown,no,0,5,may,105,2,-1,0,unknown,no,yes,no
56,admin.,married,secondary,no,353,5,may,106,2,-1,0,unknown,no,yes,no
54,technician,married,unknown,no,851,5,may,108,2,-1,0,unknown,no,yes,no
55,services,divorced,primary,no,96,5,may,311,2,-1,0,unknown,no,yes,yes
37,services,divorced,secondary,no,398,5,may,214,2,-1,0,unknown,no,yes,yes
33,admin.,single,tertiary,no,193,5,may,132,2,-1,0,unknown,no,no,no
46,admin.,married,secondary,no,-358,5,may,358,2,-1,0,unknown,no,yes,no
36,blue-collar,married,secondary,no,539,5,may,453,2,-1,0,unknown,no,yes,yes
51,technician,single,secondary,no,0,5,may,364,2,-1,0,unknown,no,yes,no
40,retired,single,primary,no,0,5,may,136,2,-1,0,unknown,no,no,no
42,blue-collar,married,secondary,no,490,5,may,386,2,-1,0,unknown,no,yes,no
51,blue-collar,married,secondary,no,0,5,may,173,2,-1,0,unknown,no,yes,no
49,blue-collar,married,unknown,no,403,5,may,241,2,-1,0,unknown,no,yes,no
48,management,married,secondary,no,161,5,may,224,3,-1,0,unknown,no,yes,no
32,technician,divorced,tertiary,no,2558,5,may,148,2,-1,0,unknown,no,no,no
31,admin.,single,secondary,no,98,5,may,196,2,-1,0,unknown,no,yes,no
55,management,single,tertiary,no,115,5,may,111,4,-1,0,unknown,no,no,no
40,blue-collar,single,secondary,no,436,5,may,231,3,-1,0,unknown,no,yes,no
47,technician,married,tertiary,no,831,5,may,316,3,-1,0,unknown,no,yes,no
57,technician,married,unknown,no,206,5,may,216,3,-1,0,unknown,no,yes,no
41,blue-collar,married,secondary,no,290,5,may,240,2,-1,0,unknown,no,yes,no
48,blue-collar,married,secondary,no,1,5,may,669,3,-1,0,unknown,no,no,no
42,blue-collar,married,unknown,no,57,5,may,425,2,-1,0,unknown,no,yes,no
30,blue-collar,single,secondary,no,-457,5,may,143,2,-1,0,unknown,no,yes,no
58,management,single,tertiary,no,1387,5,may,174,5,-1,0,unknown,no,yes,no
45,management,divorced,tertiary,no,24598,5,may,313,3,-1,0,unknown,no,yes,no
49,blue-collar,married,secondary,no,30,5,may,135,4,-1,0,unknown,no,yes,no
42,admin.,single,secondary,no,1022,5,may,146,2,-1,0,unknown,no,yes,no
53,technician,married,secondary,no,56,5,may,152,2,-1,0,unknown,no,yes,yes
51,admin.,single,secondary,yes,-2,5,may,402,3,-1,0,unknown,no,no,no
32,services,single,secondary,no,121,5,may,213,2,-1,0,unknown,no,yes,no
41,blue-collar,single,secondary,no,842,5,may,144,3,-1,0,unknown,no,yes,no
43,management,divorced,secondary,no,693,5,may,124,3,-1,0,unknown,no,yes,no
40,blue-collar,divorced,secondary,no,-333,5,may,183,2,-1,0,unknown,no,yes,no
